,0
0,10
1,20
2,2002
3,90
4,ability
5,able
6,about
7,above
8,across
9,act
10,acted
11,acting
12,action
13,actor
14,actors
15,actress
16,actually
17,adaptation
18,adults
19,adventure
20,after
21,again
22,against
23,age
24,ages
25,ago
26,air
27,all
28,almost
29,alone
30,along
31,already
32,also
33,always
34,ambitious
35,america
36,american
37,among
38,amusing
39,an
40,and
41,animated
42,animation
43,another
44,anti
45,any
46,anyone
47,anything
48,appeal
49,appealing
50,approach
51,are
52,around
53,art
54,artist
55,artistic
56,as
57,at
58,attempt
59,attention
60,audience
61,audiences
62,average
63,away
64,awful
65,back
66,bad
67,barely
68,based
69,battle
70,be
71,beautiful
72,beautifully
73,beauty
74,because
75,become
76,becomes
77,been
78,before
79,behind
80,being
81,believable
82,believe
83,best
84,better
85,between
86,beyond
87,big
88,bit
89,bizarre
90,black
91,bland
92,blood
93,book
94,boring
95,both
96,boy
97,boys
98,brain
99,break
100,brilliant
101,bring
102,british
103,brothers
104,budget
105,business
106,but
107,by
108,ca
109,call
110,called
111,camera
112,can
113,car
114,care
115,career
116,cartoon
117,case
118,cast
119,cause
120,central
121,century
122,certain
123,certainly
124,chan
125,change
126,character
127,characters
128,charm
129,charming
130,cheap
131,chemistry
132,children
133,cinema
134,cinematic
135,city
136,class
137,classic
138,clear
139,clever
140,cliches
141,close
142,co
143,cold
144,college
145,colorful
146,come
147,comedies
148,comedy
149,comes
150,comic
151,coming
152,company
153,compelling
154,completely
155,complex
156,computer
157,concept
158,conclusion
159,considerable
160,contemporary
161,contrived
162,conventional
163,convincing
164,cool
165,core
166,could
167,country
168,couple
169,crafted
170,crazy
171,create
172,creative
173,creepy
174,crime
175,crowd
176,cultural
177,culture
178,cut
179,cute
180,damned
181,dark
182,date
183,david
184,day
185,days
186,de
187,dead
188,deal
189,death
190,debut
191,decent
192,deep
193,deeply
194,delightful
195,delivers
196,depth
197,deserves
198,despite
199,dialogue
200,did
201,different
202,difficult
203,directed
204,direction
205,director
206,directors
207,disney
208,do
209,documentary
210,does
211,dog
212,doing
213,done
214,down
215,drag
216,drama
217,dramatic
218,dream
219,dreams
220,dry
221,dull
222,dumb
223,during
224,each
225,earnest
226,easily
227,easy
228,edge
229,effective
230,effects
231,effort
232,either
233,elements
234,else
235,emotional
236,emotionally
237,emotions
238,end
239,endearing
240,ending
241,ends
242,energy
243,engaging
244,engrossing
245,enjoy
246,enjoyable
247,enough
248,ensemble
249,entertaining
250,entertainment
251,entire
252,entirely
253,epic
254,episode
255,equally
256,era
257,especially
258,even
259,events
260,ever
261,every
262,everyone
263,everything
264,evil
265,exactly
266,examination
267,excellent
268,execution
269,exercise
270,expect
271,experience
272,extreme
273,eye
274,eyes
275,face
276,fact
277,fails
278,fairly
279,falls
280,familiar
281,family
282,fans
283,fantasy
284,far
285,fascinating
286,fashioned
287,fast
288,feature
289,feel
290,feeling
291,feels
292,felt
293,female
294,festival
295,few
296,fi
297,fiction
298,figure
299,film
300,filmmaker
301,filmmakers
302,filmmaking
303,films
304,final
305,finally
306,find
307,fine
308,fire
309,first
310,fit
311,five
312,flat
313,flawed
314,flaws
315,flick
316,flicks
317,for
318,force
319,foreign
320,forget
321,form
322,formula
323,found
324,four
325,frame
326,franchise
327,free
328,french
329,fresh
330,friendship
331,from
332,full
333,fully
334,fun
335,funnier
336,funny
337,future
338,gags
339,game
340,gay
341,genre
342,gentle
343,genuine
344,george
345,get
346,gets
347,getting
348,girl
349,girls
350,give
351,given
352,gives
353,go
354,goes
355,going
356,gone
357,good
358,goofy
359,gorgeous
360,got
361,grace
362,grant
363,great
364,greatest
365,gross
366,guy
367,guys
368,had
369,half
370,hand
371,happen
372,happy
373,hard
374,has
375,have
376,having
377,he
378,head
379,heart
380,heavy
381,hell
382,help
383,her
384,here
385,hero
386,high
387,highly
388,hilarious
389,him
390,himself
391,hip
392,his
393,historical
394,history
395,hit
396,hold
397,holiday
398,hollywood
399,home
400,honest
401,horror
402,hot
403,hour
404,hours
405,house
406,how
407,huge
408,human
409,humanity
410,humor
411,idea
412,ideas
413,if
414,ii
415,images
416,imagination
417,imagine
418,impact
419,important
420,impossible
421,impressive
422,in
423,indie
424,industry
425,inside
426,insight
427,inspired
428,instead
429,intelligence
430,intelligent
431,intended
432,interest
433,interested
434,interesting
435,into
436,intrigue
437,intriguing
438,inventive
439,is
440,issues
441,it
442,its
443,itself
444,job
445,john
446,joke
447,jokes
448,journey
449,just
450,justice
451,keep
452,keeps
453,key
454,kid
455,kids
456,killer
457,kind
458,know
459,knows
460,lack
461,lacking
462,lacks
463,large
464,last
465,late
466,latest
467,laugh
468,laughs
469,lead
470,least
471,leave
472,leaves
473,left
474,length
475,less
476,let
477,level
478,life
479,light
480,like
481,likely
482,line
483,list
484,little
485,live
486,lives
487,living
488,ll
489,long
490,look
491,looking
492,looks
493,loss
494,lost
495,lot
496,loud
497,love
498,low
499,lrb
500,made
501,magic
502,major
503,make
504,makes
505,making
506,man
507,manages
508,manipulative
509,manner
510,many
511,master
512,masterpiece
513,material
514,matter
515,may
516,maybe
517,me
518,mean
519,meaning
520,means
521,mediocre
522,meditation
523,melodrama
524,memorable
525,memory
526,men
527,merely
528,mess
529,message
530,michael
531,middle
532,might
533,mildly
534,mind
535,minute
536,minutes
537,modern
538,moment
539,moments
540,money
541,monster
542,mood
543,moral
544,more
545,most
546,mostly
547,mother
548,movie
549,movies
550,moving
551,mr
552,ms
553,much
554,murder
555,music
556,must
557,my
558,mystery
559,name
560,narrative
561,nature
562,nearly
563,need
564,needs
565,neither
566,never
567,new
568,next
569,nice
570,night
571,no
572,non
573,none
574,nor
575,not
576,nothing
577,novel
578,now
579,number
580,obvious
581,occasionally
582,odd
583,of
584,off
585,offer
586,offers
587,often
588,old
589,on
590,once
591,one
592,ones
593,only
594,open
595,opera
596,or
597,original
598,oscar
599,other
600,others
601,otherwise
602,our
603,out
604,over
605,overall
606,own
607,pace
608,pacing
609,painful
610,parents
611,part
612,particularly
613,party
614,passion
615,past
616,pay
617,people
618,perfect
619,perfectly
620,performance
621,performances
622,period
623,personal
624,perspective
625,picture
626,pictures
627,piece
628,pieces
629,place
630,places
631,plain
632,play
633,playing
634,plays
635,pleasure
636,plenty
637,plot
638,point
639,points
640,political
641,poor
642,pop
643,popcorn
644,portrait
645,possible
646,post
647,potential
648,power
649,powerful
650,predictable
651,premise
652,pretentious
653,pretty
654,previous
655,probably
656,problem
657,problems
658,process
659,production
660,project
661,promise
662,proves
663,provocative
664,psychological
665,pure
666,purpose
667,put
668,quality
669,queen
670,questions
671,quiet
672,quirky
673,quite
674,rare
675,rate
676,rather
677,re
678,read
679,real
680,reality
681,really
682,reason
683,recent
684,red
685,relationship
686,relationships
687,release
688,remains
689,remake
690,remarkable
691,rest
692,rich
693,ride
694,right
695,road
696,robert
697,rock
698,role
699,romance
700,romantic
701,room
702,rrb
703,run
704,running
705,sad
706,same
707,sandler
708,satire
709,satisfying
710,saw
711,say
712,scary
713,scene
714,scenes
715,school
716,sci
717,science
718,screen
719,screenplay
720,script
721,seat
722,second
723,see
724,seeing
725,seem
726,seems
727,seen
728,self
729,sense
730,sensitive
731,sentimental
732,sequel
733,sequences
734,series
735,serious
736,set
737,several
738,sex
739,sexual
740,shallow
741,share
742,sharp
743,she
744,shoot
745,short
746,shot
747,shots
748,should
749,show
750,shows
751,side
752,silly
753,simple
754,simply
755,since
756,sincere
757,single
758,sit
759,situation
760,situations
761,skin
762,slapstick
763,slight
764,slightly
765,slow
766,small
767,smart
768,so
769,soap
770,social
771,society
772,solid
773,some
774,someone
775,something
776,sometimes
777,somewhat
778,sophisticated
779,sort
780,soul
781,south
782,special
783,spielberg
784,spirit
785,spiritual
786,sports
787,spy
788,stand
789,standard
790,star
791,stars
792,start
793,starts
794,step
795,steven
796,still
797,stories
798,story
799,storytelling
800,straight
801,strange
802,strong
803,study
804,stuff
805,stupid
806,style
807,stylish
808,subject
809,substance
810,subtle
811,success
812,successful
813,such
814,summer
815,supposed
816,sure
817,surprise
818,surprises
819,surprising
820,surprisingly
821,suspense
822,sustain
823,sweet
824,take
825,taken
826,takes
827,taking
828,tale
829,talent
830,talented
831,target
832,taste
833,tedious
834,teen
835,television
836,tell
837,telling
838,tension
839,terms
840,terrific
841,than
842,that
843,the
844,theater
845,their
846,them
847,themes
848,themselves
849,then
850,there
851,these
852,they
853,thin
854,thing
855,things
856,think
857,thinking
858,this
859,thoroughly
860,those
861,though
862,thought
863,thoughtful
864,three
865,thriller
866,through
867,throughout
868,time
869,times
870,tired
871,title
872,to
873,today
874,together
875,told
876,tom
877,tone
878,too
879,top
880,touch
881,touching
882,tragedy
883,tragic
884,treatment
885,tries
886,trip
887,trouble
888,true
889,truly
890,truth
891,try
892,trying
893,turn
894,turns
895,tv
896,twisted
897,twists
898,two
899,typical
900,ugly
901,ultimate
902,ultimately
903,under
904,understand
905,unexpected
906,unfunny
907,unique
908,unsettling
909,until
910,up
911,upon
912,urban
913,us
914,use
915,used
916,uses
917,usual
918,usually
919,utterly
920,ve
921,version
922,very
923,video
924,view
925,viewer
926,viewers
927,viewing
928,violence
929,vision
930,visual
931,visually
932,voice
933,want
934,wanted
935,wants
936,war
937,warm
938,warmth
939,was
940,waste
941,watch
942,watchable
943,watching
944,water
945,way
946,ways
947,we
948,weird
949,welcome
950,well
951,were
952,what
953,when
954,where
955,whether
956,which
957,while
958,white
959,who
960,whole
961,whose
962,why
963,wife
964,wild
965,will
966,winning
967,wise
968,wish
969,wit
970,with
971,without
972,witty
973,wo
974,woman
975,women
976,wonderful
977,word
978,words
979,work
980,working
981,works
982,world
983,worse
984,worst
985,worth
986,worthy
987,would
988,writer
989,writing
990,written
991,wrong
992,ya
993,year
994,years
995,yet
996,york
997,you
998,young
999,your
